CustomerId,DateId,LocationName,TransactionTypeId,SKU,NetSales,Quantity,DiscountAmount
27569,12/1/2021,Online,6,S41,674.1,1,0
26023,11/2/2021,Online,4,S40,1707.3,1,0
26779,11/19/2021,Destin Flagship,4,S48,944.1,1,0
26779,11/19/2021,Destin Flagship,4,S33,764.1,1,0
26779,11/19/2021,Destin Flagship,4,S427,36,1,0
26779,11/19/2021,Destin Flagship,4,S435,31.5,1,0
26779,11/19/2021,Destin Flagship,4,S434,31.5,1,0
26779,11/19/2021,Destin Flagship,4,S409,54,1,0
26779,11/19/2021,Destin Flagship,4,S408,54,1,0
26779,11/19/2021,Destin Flagship,4,S534,135,1,0
26779,11/19/2021,Destin Flagship,4,S415,171,1,0
26779,11/19/2021,Destin Flagship,4,S54,944.1,1,204.9
2701,7/6/2021,Online,1,S35,799,1,0
2701,7/6/2021,Online,1,S20,649,1,0
2701,7/6/2021,Online,1,S472,70,1,0
2701,7/6/2021,Online,1,S92,1099,1,0
2701,7/6/2021,Online,1,S423,280,2,0
2701,7/6/2021,Online,1,S375,100,1,30
2701,7/6/2021,Online,1,S390,238,2,0
25149,10/4/2021,Online,4,S432,27,1,3
25149,10/4/2021,Online,4,S440,180,1,20
25149,10/4/2021,Online,4,S380,719.99,1,80
25149,10/4/2021,Online,4,S85,1349.11,1,149.89
5005,7/14/2021,Online,6,S41,749,1,0
21898,7/31/2021,Online,4,S415,180,1,0
21898,7/31/2021,Online,4,S52,999,1,0
21898,7/31/2021,Online,4,S50,999,1,0
11834,5/9/2021,Online,1,S368,338,2,0
18201,6/27/2021,Online,4,S458,38,1,2
3197,7/5/2021,Online,1,S16,649,1,0
24045,9/3/2021,Grayton Beach Flagship,1,S265,26,1,0
6157,7/10/2021,Online,1,S427,40,1,0
19657,7/9/2021,Online,1,S82,1424.05,1,74.95
16003,6/10/2021,Online,1,S414,180,1,0
16003,6/10/2021,Online,1,S25,1299,1,0
20509,7/17/2021,Online,6,S375,100,1,30
20509,7/17/2021,Online,6,S433,30,1,0
20509,7/17/2021,Online,6,S92,1099,1,0
22988,8/15/2021,Online,1,S458,40,1,0
22988,8/15/2021,Online,1,S415,180,1,0
22988,8/15/2021,Online,1,S18,649,1,0
16476,6/15/2021,Online,4,S388,50,2,0
16476,6/15/2021,Online,4,S414,180,1,0
23941,8/31/2021,Online,1,S18,584.1,1,64.9
,8/8/2021,Online,1,S397,180,1,20
21649,7/28/2021,Destin Flagship,1,S447,10,1,0
21649,7/28/2021,Destin Flagship,1,S30,1099,1,0
21649,7/28/2021,Destin Flagship,1,S375,100,1,30
21649,7/28/2021,Destin Flagship,1,S388,17.5,1,7.5
21649,7/28/2021,Destin Flagship,1,S414,100,1,80
19830,7/10/2021,Online,1,S51,999,1,0
18042,6/26/2021,Online,1,S472,70,1,0
18042,6/26/2021,Online,1,S91,999,1,0
22167,8/3/2021,Destin Flagship,1,S380,599.99,1,200
,6/27/2021,Online,1,S380,799.99,1,0
19354,7/6/2021,Online,1,S4,379.05,1,19.95
19354,7/6/2021,Online,1,S458,38,1,2
14921,6/2/2021,Online,1,S446,120,1,0
14921,6/2/2021,Online,1,S459,200,1,0
14921,6/2/2021,Online,1,S75,1299,1,0
14921,6/2/2021,Online,1,S427,40,1,0
14921,6/2/2021,Online,1,S544,99.95,1,0
19677,7/9/2021,Online,1,S20,616.55,1,32.45
4422,7/17/2021,Destin Flagship,1,S316,13,1,13
4422,7/17/2021,Destin Flagship,1,S311,13,1,13
4422,7/17/2021,Destin Flagship,1,S348,13,1,13
4422,7/17/2021,Destin Flagship,1,S302,16,1,16
4422,7/17/2021,Destin Flagship,1,S143,20,1,20
19229,7/5/2021,Fort Walton Beach Flagship,1,S92,1099,1,0
19229,7/5/2021,Fort Walton Beach Flagship,1,S376,49.99,1,0
,7/19/2021,Grayton Beach Flagship,1,S7,949,1,0
,7/19/2021,Grayton Beach Flagship,1,S449,90,1,0
20706,7/19/2021,Online,1,S427,80,2,0
972,7/5/2021,Online,1,S91,999,1,0
972,7/5/2021,Online,1,S458,40,1,0
20184,7/13/2021,Destin Flagship,1,S1,764.15,1,134.85
22896,8/14/2021,Destin Flagship,1,S464,50,1,0
22896,8/14/2021,Destin Flagship,1,S618,200,1,0
22896,8/14/2021,Destin Flagship,1,S460,200,1,0
22896,8/14/2021,Destin Flagship,1,S556,210,1,0
22896,8/14/2021,Destin Flagship,1,S50,999,1,0
22896,8/14/2021,Destin Flagship,1,S433,30,1,0
22896,8/14/2021,Destin Flagship,1,S412,30,1,0
22896,8/14/2021,Destin Flagship,1,S472,70,1,0
22896,8/14/2021,Destin Flagship,1,S427,40,1,0
22896,8/14/2021,Destin Flagship,1,S457,30,1,0
,7/12/2021,Online,1,S420,20,1,0
18358,6/28/2021,Online,1,S52,999,1,0
18358,6/28/2021,Online,1,S50,999,1,0
,8/18/2021,Online,1,S472,140,2,0
2537,6/16/2021,Online,1,S414,180,1,0
2537,6/16/2021,Online,1,S25,1299,1,0
1026,6/28/2021,Online,1,S20,649,1,0
,6/22/2021,Online,1,S25,1299,1,0
,7/12/2021,Destin Flagship,1,S636,284.96,1,14.99
22668,8/10/2021,Online,4,S558,199.5,1,10.5
22668,8/10/2021,Online,4,S412,28.5,1,1.5
22668,8/10/2021,Online,4,S432,57,2,3
22668,8/10/2021,Online,4,S433,57,2,3
22668,8/10/2021,Online,4,S27,1329.05,1,69.95
22529,8/8/2021,Grayton Beach Flagship,1,S433,60,2,0
,7/16/2021,Destin Flagship,1,S290,13,1,13
,7/16/2021,Destin Flagship,1,S282,13,1,13
,7/16/2021,Destin Flagship,1,S433,15,1,15
18578,6/30/2021,Destin Flagship,1,S511,20,1,0
20981,8/1/2021,Online,1,S412,30,1,0
20981,8/1/2021,Online,1,S561,210,1,0
14287,7/18/2021,Online,1,S400,200,1,0
14287,7/18/2021,Online,1,S433,30,1,0
20282,7/14/2021,Online,1,S458,39.73,1,0.27
20282,7/14/2021,Online,1,S77,1290.1,1,8.9
20282,7/14/2021,Online,1,S446,119.17,1,0.83
23552,8/25/2021,Online,1,S33,759.05,1,39.95
23552,8/25/2021,Online,1,S381,237.5,1,12.5
23861,8/30/2021,Online,1,S25,1299,1,0
21525,7/27/2021,Destin Flagship,1,S27,1399,1,0
6069,7/10/2021,Online,1,S506,20,1,0
6069,7/10/2021,Online,1,S142,40,1,0
6069,7/10/2021,Online,1,S561,210,1,0
22631,8/11/2021,Online,1,S472,63,1,7
22631,8/11/2021,Online,1,S412,27,1,3
22631,8/11/2021,Online,1,S458,36,1,4
22631,8/11/2021,Online,1,S427,36,1,4
22631,8/11/2021,Online,1,S460,180,1,20
22631,8/11/2021,Online,1,S563,189,1,21
22631,8/11/2021,Online,1,S464,45,1,5
22631,8/11/2021,Online,1,S564,13.5,1,1.5
22603,8/9/2021,Grayton Beach Flagship,1,S525,230,1,0
22603,8/9/2021,Grayton Beach Flagship,1,S630,40,1,0
,6/25/2021,Online,1,S16,649,1,0
22710,8/11/2021,Online,1,S18,584.1,1,64.9
21140,7/23/2021,Online,1,S367,298,2,0
21140,7/23/2021,Online,1,S388,50,2,0
21140,7/23/2021,Online,1,S371,60,1,0
2315,7/30/2021,Online,1,S636,299.95,1,0
,8/5/2021,Online,1,S412,30,1,0
20790,7/19/2021,Online,1,S92,1099,1,0
20790,7/19/2021,Online,1,S375,100,1,30
13364,8/28/2021,Online,1,S427,40,1,0
17376,7/13/2021,Online,1,S457,60,2,0
17376,7/13/2021,Online,1,S458,80,2,0
20991,8/24/2021,Online,1,S389,30,1,0
18153,6/27/2021,Online,1,S33,799,1,0
18153,6/27/2021,Online,1,S458,40,1,0
19264,7/12/2021,Online,1,S472,70,1,0
19125,7/5/2021,Online,1,S48,999,1,0
,6/26/2021,Online,1,S12,1349,1,0
17188,7/2/2021,Online,1,S390,119,1,0
,8/9/2021,Online,1,S390,119,1,0
20693,8/12/2021,Online,1,S423,280,2,0
20796,7/20/2021,Online,1,S458,40,1,0
20796,7/20/2021,Online,1,S558,210,1,0
20796,7/20/2021,Online,1,S412,30,1,0
20796,7/20/2021,Online,1,S51,999,1,0
17986,6/26/2021,Online,1,S458,40,1,0
19288,7/6/2021,Online,1,S6,949,1,0
19288,7/6/2021,Online,1,S367,298,2,0
20824,8/15/2021,Online,1,S91,999,1,0
18722,7/1/2021,Destin Flagship,1,S414,180,1,0
,7/13/2021,Online,1,S458,40,1,0
15986,7/1/2021,Online,1,S637,40,2,0
19813,7/14/2021,Online,1,S446,108,1,12
19813,7/14/2021,Online,1,S433,27,1,3
19813,7/14/2021,Online,1,S84,1349.11,1,149.89
19813,7/14/2021,Online,1,S558,189,1,21
19813,7/14/2021,Online,1,S548,36,1,4
